book_title,author_name,keywords
Nick & Norah's Infinite Playlist,"Rachel Cohn, David Levithan (Goodreads Author)",levithan; norah; cohn; rachel; minutes; day; nick; girlfriend; date; dash; said; push; lily; david; ely; adult; playlist; told; boy; naomi
Mossflower,Brian Jacques,redwall; jacques; mouse; martin; liverpool; govern; greedy; mole; paw; wildcat; salamandastron; quick; dungeon; iron; tyrannical; mossflower; fighter; resolve; prequel; thief
The Apprentice,Tess Gerritsen (Goodreads Author),gerritsen; rizzoli; counting; isles; warren; city; tess; medical; chinese; police; killer; isn; harvest; thrillers; end; evil; acolyte; abduction; boiling; figuratively
The Fyfield Plantation,Andrew R. Williams (Goodreads Author),kuang; mick; drug; poppy; journey; produces; robots; funds; tarmy; sci; cracking; fi; dedicated; continuing; guaranteed; samantha; claire; aliens; raise; voyager
The Long Walk: The True Story of a Trek to Freedom,Slavomir Rawicz,rawicz; china; soviet; india; harrowing; desperately; escaped; desert; british; walk; polish; seven; true; tale; long; camp; gulag; 1942; ussr; army
The Crazy Life of a Kid from Brooklyn,Bill Morgenstein,jazz; brooklyn; bass; jeff; guitar; alphonso; grateful; dead; life; baseball; drums; kid; rod; drummer; band; crazy; billy; experience; dream; johnson
A Spell for Chameleon,Piers Anthony,anthony; bink; magic; piers; magician; exiled; xanth; humfrey; got; special; coulson; elwood; land; good; genie; fathom; beauregard; chart; possessed; florida
Every Last Word,Tamara Ireland Stone (Goodreads Author),sam; novelist; born; wrong; popular; english; première; girls; poet; american; john; hidden; turn; prize; dramatist; school; frank; writer; worries; lunch
Lila: An Inquiry Into Morals,Robert M. Pirsig,pirsig; lila; motorcycle; zen; robert; maintenance; work; hostility; hudson; picks; closes; traveling; crafted; sexuality; philosopher; essential; poignant; carries; madness; previous
Unite Me,Tahereh Mafi,mafi; shatter; juliette; warner; adam; ignite; reestablishment; unravel; plans; point; fracture; destroy; furthermore; california; preview; restore; cares; bridges; reveal; kenji
Don't Look Back,Jennifer L. Armentrout (Goodreads Author),sam; armentrout; ash; blood; night; novella; series; flesh; jennifer; lynn; wants; 2013; memories; 1001; happened; spin; like; 2015; 2014; prequel
The Lover's Dictionary,David Levithan (Goodreads Author),levithan; dictionary; moment; love; pass; day; lover; cohn; dash; push; lily; does; ely; adult; playlist; norah; transcendent; boy; naomi; young
Vanish,Sophie Jordan (Goodreads Author),kingsolver; jacinda; pride; prize; shaded; cassian; hostility; greeted; clings; closely; sake; rivalries; someday; guarded; apparent; managed; twist; betrayed; copperhead; bellwether
